"","tourney_name","tourney_id","name","link","display"
"1","PAQT 6 Plymouth Academic Quizbowl Tournament",8405,"Prelim round 1-6","https://hsquizbowl.org/db/tournaments/8405/stats/prelim_round_1-6/individuals","PAQT 6 Plymouth Academic Quizbowl Tournament <8405> - Prelim round 1-6"
"2","PAQT 6 Plymouth Academic Quizbowl Tournament",8405,"Prelim round 1-7","https://hsquizbowl.org/db/tournaments/8405/stats/prelim_round_1-7/individuals","PAQT 6 Plymouth Academic Quizbowl Tournament <8405> - Prelim round 1-7"
"3","PAQT 6 Plymouth Academic Quizbowl Tournament",8405,"Finals Bracket round 1-8","https://hsquizbowl.org/db/tournaments/8405/stats/finals_bracket_round_1-8/individuals","PAQT 6 Plymouth Academic Quizbowl Tournament <8405> - Finals Bracket round 1-8"
"4","PAQT 6 Plymouth Academic Quizbowl Tournament",8405,"Prelim round 1-9","https://hsquizbowl.org/db/tournaments/8405/stats/prelim_round_1-9/individuals","PAQT 6 Plymouth Academic Quizbowl Tournament <8405> - Prelim round 1-9"
"5","PAQT 6 Plymouth Academic Quizbowl Tournament",8405,"Final round 1-10","https://hsquizbowl.org/db/tournaments/8405/stats/final_round_1-10/individuals","PAQT 6 Plymouth Academic Quizbowl Tournament <8405> - Final round 1-10"
"6","2023 CREEK+ at Berkeley",8398,"Final","https://hsquizbowl.org/db/tournaments/8398/stats/final/individuals","2023 CREEK+ at Berkeley <8398> - Final"
"7","Penn Bowl 2023 Playtest Mirror",8394,"Prelims","https://hsquizbowl.org/db/tournaments/8394/stats/prelims/individuals","Penn Bowl 2023 Playtest Mirror <8394> - Prelims"
"8","Penn Bowl 2023 Playtest Mirror",8394,"Playoffs + Finals","https://hsquizbowl.org/db/tournaments/8394/stats/playoffs_%2B_finals/individuals","Penn Bowl 2023 Playtest Mirror <8394> - Playoffs + Finals"
"9","NAQT Collegiate Novice @ CMU",8393,"All Games","https://hsquizbowl.org/db/tournaments/8393/stats/all_games/individuals","NAQT Collegiate Novice @ CMU <8393> - All Games"
"10","2023 Hudson Exploratory Tournament",8391,"All games","https://hsquizbowl.org/db/tournaments/8391/stats/all_games/individuals","2023 Hudson Exploratory Tournament <8391> - All games"
"11","2023 Humberto: A SoCal COOT Mirror",8376,"All Games","https://hsquizbowl.org/db/tournaments/8376/stats/all_games/individuals","2023 Humberto: A SoCal COOT Mirror <8376> - All Games"
"12","2023 NASAT Open",8374,"All Games","https://hsquizbowl.org/db/tournaments/8374/stats/all_games/individuals","2023 NASAT Open <8374> - All Games"
"13","2023 NASAT Open",8374,"Prelims","https://hsquizbowl.org/db/tournaments/8374/stats/prelims/individuals","2023 NASAT Open <8374> - Prelims"
"14","2023 NASAT Open",8374,"Playoffs","https://hsquizbowl.org/db/tournaments/8374/stats/playoffs/individuals","2023 NASAT Open <8374> - Playoffs"
"15","Highland Games",8371,"Prelims","https://hsquizbowl.org/db/tournaments/8371/stats/prelims/individuals","Highland Games <8371> - Prelims"
"16","On Cinema at the Buzzer Online Mirror",8370,"Prelims","https://hsquizbowl.org/db/tournaments/8370/stats/prelims/individuals","On Cinema at the Buzzer Online Mirror <8370> - Prelims"
"17","On Cinema at the Buzzer Online Mirror",8370,"Playoffs","https://hsquizbowl.org/db/tournaments/8370/stats/playoffs/individuals","On Cinema at the Buzzer Online Mirror <8370> - Playoffs"
"18","On Cinema at the Buzzer Online Mirror",8370,"Combined","https://hsquizbowl.org/db/tournaments/8370/stats/combined/individuals","On Cinema at the Buzzer Online Mirror <8370> - Combined"
"19","OU Early Fall Tournament 2023",8369,"Round 1","https://hsquizbowl.org/db/tournaments/8369/stats/round_1/individuals","OU Early Fall Tournament 2023 <8369> - Round 1"
"20","OU Early Fall Tournament 2023",8369,"Round 2","https://hsquizbowl.org/db/tournaments/8369/stats/round_2/individuals","OU Early Fall Tournament 2023 <8369> - Round 2"
"21","OU Early Fall Tournament 2023",8369,"Round3","https://hsquizbowl.org/db/tournaments/8369/stats/round3/individuals","OU Early Fall Tournament 2023 <8369> - Round3"
"22","OU Early Fall Tournament 2023",8369,"Round 4","https://hsquizbowl.org/db/tournaments/8369/stats/round_4/individuals","OU Early Fall Tournament 2023 <8369> - Round 4"
"23","OU Early Fall Tournament 2023",8369,"Round 5 (Playoff Seeding)","https://hsquizbowl.org/db/tournaments/8369/stats/round_5_%28playoff_seeding%29/individuals","OU Early Fall Tournament 2023 <8369> - Round 5 (Playoff Seeding)"
"24","OU Early Fall Tournament 2023",8369,"Round 6 (playoffs)","https://hsquizbowl.org/db/tournaments/8369/stats/round_6_%28playoffs%29/individuals","OU Early Fall Tournament 2023 <8369> - Round 6 (playoffs)"
